id,user_login,user_name,license,image_url,latitude,longitude,scientific_name,common_name,taxon_id,taxon_family_name
14672888,irag,Ira Gershenhorn,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/21872793/medium.jpeg,35.1297416687,-75.9258575439,Kosteletzkya pentacarpos,Saltmarsh mallow,131656,Malvaceae
14673904,irag,Ira Gershenhorn,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/21873288/medium.jpeg,35.1184806824,-75.9805145264,Solanum carolinense,Carolina horsenettle,52899,Solanaceae
14706614,irag,Ira Gershenhorn,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/21931357/medium.jpeg,35.108127594,-75.9535980225,Hydrocotyle bonariensis,largeleaf pennywort,163871,Araliaceae
14706898,irag,Ira Gershenhorn,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/21931527/medium.jpeg,35.107925415,-75.9535369873,Uniola paniculata,sea oats,126303,Poaceae
14707281,irag,Ira Gershenhorn,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/21931985/medium.jpeg,35.1078567505,-75.9536972046,Oenothera humifusa,Seabeach Evening-primrose,133290,Onagraceae
14707664,irag,Ira Gershenhorn,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/21932689/medium.jpeg,35.1079063416,-75.9535980225,Opuntia drummondii,Creeping Cactus,596540,Cactaceae
14707786,irag,Ira Gershenhorn,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/21932982/medium.jpeg,35.1113815308,-75.9814834595,Monarda punctata,spotted horse mint,118776,Lamiaceae
15427508,alex390,Alex Brake,,https://static.inaturalist.org/photos/23134572/medium.jpeg,35.1110954285,-75.9807510376,Monarda punctata,spotted horse mint,118776,Lamiaceae
15430991,alex390,Alex Brake,,https://static.inaturalist.org/photos/23140791/medium.jpeg,35.1111335754,-75.9809265137,Gaillardia pulchella,Indian blanket,51768,Asteraceae
15999982,monteferrante,,,https://static.inaturalist.org/photos/23959794/medium.jpg,35.1104986389,-75.9801613726,Nerium oleander,oleander,47563,Apocynaceae
17543106,jbrown252,"",,https://static.inaturalist.org/photos/26706693/medium.jpeg,35.1579967232,-75.9444341313,Ipomoea imperati,beach morning-glory,130193,Convolvulaceae
17653999,beccanish,"",CC-BY-NC-SA,https://inaturalist-open-data.s3.amazonaws.com/photos/26897445/medium.jpeg,35.4524662846,-76.1775324222,Conoclinium coelestinum,blue mistflower,119095,Asteraceae
17888159,hshiflet,,,https://static.inaturalist.org/photos/27316264/medium.jpg,35.1121895202,-75.9814605676,Smilax bona-nox,saw greenbrier,125677,Smilacaceae
17904496,hshiflet,,,https://static.inaturalist.org/photos/27346593/medium.jpg,35.1859315345,-75.7808594127,Solidago sempervirens,northern seaside goldenrod,126888,Asteraceae
17905033,hshiflet,,,https://static.inaturalist.org/photos/27347630/medium.jpg,35.1876802929,-75.7801880223,Ilex vomitoria,Yaupon Holly,119955,Aquifoliaceae
17905135,hshiflet,,,https://static.inaturalist.org/photos/27347859/medium.jpg,35.1878439496,-75.7799948194,Hydrocotyle bonariensis,largeleaf pennywort,163871,Araliaceae
17905241,hshiflet,,,https://static.inaturalist.org/photos/27348078/medium.jpg,35.1877434505,-75.7801280916,Baccharis halimifolia,groundsel tree,84813,Asteraceae
17905391,hshiflet,,,https://static.inaturalist.org/photos/27348287/medium.jpg,35.1368568177,-75.6538767307,Yucca aloifolia,Aloe Yucca,133334,Asparagaceae
18014510,beccanish,"",CC-BY-NC-SA,https://inaturalist-open-data.s3.amazonaws.com/photos/27540402/medium.jpeg,35.4533968953,-76.1741251398,Callicarpa americana,American beautyberry,49193,Lamiaceae
18947961,spohlman,,,https://static.inaturalist.org/photos/29048529/medium.jpg,35.7048116667,-76.5586,Arundinaria tecta,switch cane,747236,Poaceae
